"13 minutes","203.172.248.70",3128," Thailand",,,"HTTPS","High +KA"
"27 minutes","202.138.125.211",8080," India",,,"HTTP","High"
"29 minutes","94.75.245.181",8080," Netherlands",,,"HTTPS","High +KA"
"40 minutes","77.89.241.242",8080," Moldova, Republic of",,,"HTTPS","High +KA"
"51 minutes","212.126.3.241",8080," Poland",,,"HTTPS","High +KA"
"57 minutes","46.118.222.191",8080," Ukraine",,,"HTTPS","High +KA"
"1 hour and 5 minutes","190.24.10.122",8080," Colombia",,,"HTTPS","High +KA"
"1 hour and 9 minutes","61.164.46.26",52013," China",,,"HTTPS","High +KA"
"1 hour and 20 minutes","79.134.211.141",3128," Estonia",,,"HTTPS","High +KA"
"1 hour and 26 minutes","220.248.180.149",3128," China",,,"HTTP","High +KA"
"1 hour and 31 minutes","183.207.229.12",80," China",,,"HTTP","High +KA"
"1 hour and 45 minutes","210.51.37.167",3389," China",,,"HTTPS","High +KA"
"1 hour and 53 minutes","221.2.80.126",8888," China",,,"HTTPS","High +KA"
"1 hour and 55 minutes","95.159.105.2",3128," Iraq",,,"HTTPS","High +KA"
"1 hour and 55 minutes","118.96.31.91",3128," Indonesia",,,"HTTPS","High +KA"
"1 hour and 57 minutes","218.108.170.167",82," China",,,"HTTP","High +KA"
"2 hours","177.101.172.2",8080," Brazil",,,"HTTPS","High +KA"
"2 hours and 4 minutes","58.20.127.26",3128," China",,,"HTTP","High +KA"
"2 hours and 20 minutes","62.75.229.121",3128," Germany",,,"HTTPS","High +KA"
"2 hours and 48 minutes","195.225.144.38",3128," Ukraine",,,"HTTPS","High +KA"
"2 hours and 49 minutes","2.51.251.249",8118," United Arab Emirates",,,"HTTPS","High +KA"
"2 hours and 50 minutes","118.26.57.13",83," China",,,"HTTP","High +KA"
"2 hours and 50 minutes","176.106.240.1",3128," Russian Federation",,,"HTTPS","High +KA"
"2 hours and 57 minutes","162.13.144.184",8118," Mongolia",,,"HTTPS","High +KA"
"3 hours and 29 minutes","202.198.55.123",18186," China",,,"HTTP","High +KA"
"3 hours and 34 minutes","103.246.118.97",8080," Indonesia",,,"HTTPS","High +KA"
"3 hours and 42 minutes","92.255.236.122",8080," Russian Federation",,,"HTTPS","High +KA"
"3 hours and 45 minutes","177.69.195.4",3128," Brazil",,,"HTTPS","High +KA"
"3 hours and 46 minutes","218.108.232.187",80," China",,,"HTTP","High +KA"
"3 hours and 48 minutes","218.108.90.74",443," China",,,"HTTPS","High +KA"
"3 hours and 48 minutes","220.181.28.252",8118," China",,,"HTTPS","High +KA"
"3 hours and 49 minutes","194.141.102.254",8080," Bulgaria",,,"HTTPS","High +KA"
"3 hours and 53 minutes","109.207.61.113",8090," Poland",,,"HTTPS","High +KA"
"3 hours and 53 minutes","111.119.192.34",8080," India",,,"HTTPS","High +KA"
"4 hours and 13 minutes","193.108.249.105",3128," Ukraine",,,"HTTPS","High +KA"
"4 hours and 15 minutes","23.227.192.22",80," United States",,,"HTTPS","High +KA"
"4 hours and 19 minutes","82.137.208.24",80," Syrian Arab Republic",,,"HTTPS","High +KA"
"4 hours and 32 minutes","117.59.224.62",80," China",,,"HTTPS","High +KA"
